"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","11月支払金額","12月繰越残高","新規サイン"
"2023/10/31","AGODA-B利用国GBR","本人","1回払い","9946","0","9946","9946","0","*"
"","現地利用額　　　　　　　　６５．０３０変換レート　１５２．９４５円","","","","","","","",""
"2023/10/29","MCDONALDS 35693利用国USA","本人","1回払い","639","0","639","639","0","*"
"","現地利用額　　　　　　　　　４．１８０変換レート　１５２．８７１円","","","","","","","",""
"2023/10/25","LA METRO - TAP WEB S利用国USA","本人","1回払い","1524","0","1524","1524","0","*"
"","現地利用額　　　　　　　　１０．０００変換レート　１５２．４００円","","","","","","","",""
"2023/10/22","SUBWAY 33317利用国USA","本人","1回払い","931","0","931","931","0","*"
"","現地利用額　　　　　　　　　６．１１０変換レート　１５２．３７４円","","","","","","","",""
"2023/10/21","GATLINBURG BEER&TOBA利用国USA","本人","1回払い","1063","0","1063","1063","0","*"
"","現地利用額　　　　　　１０６３．０００変換レート　　　１．０００円","","","","","","","",""
"2023/10/18","CLIPPER SYSTEMS MOBI利用国USA","本人","1回払い","761","0","761","761","0","*"
"","現地利用額　　　　　　　　　５．０００変換レート　１５２．２００円","","","","","","","",""
"2023/10/18","CLIPPER SYSTEMS MOBI利用国USA","本人","1回払い","762","0","762","762","0","*"
"","現地利用額　　　　　　　　　５．０００変換レート　１５２．４００円","","","","","","","",""
"2023/10/18","CLIPPER SYSTEMS MOBI利用国USA","本人","1回払い","1523","0","1523","1523","0","*"
"","現地利用額　　　　　　　　１０．０００変換レート　１５２．３００円","","","","","","","",""
"2023/10/18","CLIPPER SYSTEMS MOBI利用国USA","本人","1回払い","1523","0","1523","1523","0","*"
"","現地利用額　　　　　　　　１０．０００変換レート　１５２．３００円","","","","","","","",""
"2023/10/18","ﾄﾞﾝｷﾎｰﾃｶﾝﾅﾅﾎｳﾅﾝﾁ","本人","1回払い","1270","0","1270","1270","0","*"
"2023/10/18","ｷﾞﾖｳﾑｽ-ﾊﾟ-ｻｻﾂﾞｶﾃ","本人","1回払い","302","0","302","302","0","*"
"2023/10/18","ｷﾞﾖｳﾑｽ-ﾊﾟ-ｻｻﾂﾞｶﾃ","本人","1回払い","419","0","419","419","0","*"
"2023/10/18","楽天ＳＰ　自販機グリーンポートアプリ","本人","1回払い","150","0","150","150","0","*"
"2023/10/18","楽天ＳＰ　成田空港　アプリ","本人","1回払い","996","0","996","996","0","*"
"2023/10/17","ｷﾞﾖｳﾑｽ-ﾊﾟ-ｻｻﾂﾞｶﾃ","本人","1回払い","1318","0","1318","1318","0","*"
